date,SA4_code_2011,Dwellings Total private dwellings Statistical Area Level 4,Total selected
2011,101,98446,98446
2011,102,134743,134743
2011,103,84367,84367
2011,104,57413,57413
2011,105,50226,50226
2011,106,101301,101301
2011,107,110655,110655
2011,108,94196,94196
2011,109,50016,50016
2011,110,75667,75667
2011,111,142303,142303
2011,112,99919,99919
2011,113,62858,62858
2011,114,69078,69078
2011,115,69290,69290
2011,116,98879,98879
2011,117,120527,120527
2011,118,105109,105109
2011,119,185296,185296
2011,120,104489,104489
2011,121,150456,150456
2011,122,93930,93930
2011,123,79984,79984
2011,124,107132,107132
2011,125,136544,136544
2011,126,61956,61956
2011,127,111810,111810
2011,128,80049,80049
2011,197,0,0
2011,199,0,0
2011,201,64346,64346
2011,202,60888,60888
2011,203,115513,115513
2011,204,74287,74287
2011,205,129228,129228
2011,206,237884,237884
2011,207,132973,132973
2011,208,155241,155241
2011,209,161140,161140
2011,210,114373,114373
2011,211,181800,181800
2011,212,233829,233829
2011,213,222433,222433
2011,214,132497,132497
2011,215,66526,66526
2011,216,52583,52583
2011,217,55893,55893
2011,297,0,0
2011,299,0,0
2011,301,81901,81901
2011,302,77707,77707
2011,303,118454,118454
2011,304,63167,63167
2011,305,98319,98319
2011,306,93355,93355
2011,307,51938,51938
2011,308,83994,83994
2011,309,212268,212268
2011,310,102811,102811
2011,311,102124,102124
2011,312,65271,65271
2011,313,85884,85884
2011,314,60153,60153
2011,315,30577,30577
2011,316,134869,134869
2011,317,55286,55286
2011,318,86284,86284
2011,319,120851,120851
2011,397,0,0
2011,399,0,0
2011,401,119274,119274
2011,402,156708,156708
2011,403,145015,145015
2011,404,96252,96252
2011,405,55164,55164
2011,406,39093,39093
2011,407,91309,91309
2011,497,0,0
2011,499,0,0
2011,501,71170,71170
2011,502,40042,40042
2011,503,69229,69229
2011,504,85409,85409
2011,505,188382,188382
2011,506,169802,169802
2011,507,140461,140461
2011,508,75173,75173
2011,509,63822,63822
2011,597,0,0
2011,599,0,0
2011,601,91208,91208
2011,602,63352,63352
2011,603,21715,21715
2011,604,49042,49042
2011,697,0,0
2011,699,0,0
2011,701,42570,42570
2011,702,26918,26918
2011,797,0,0
2011,799,0,0
2011,801,139620,139620
2011,897,0,0
2011,899,0,0
2011,901,779,779
2011,997,0,0
2011,999,0,0
